note_id,product_model,serial_number,date,symptom_text,fix_text,tag,_true_theme_for_validation_only
RET-00195,Model-B200,SN-B20-00195,2025-09-14,"Broken latch, cover does not close properly.",Replaced outer housing.,physical_damage,Physical Damage
RET-00196,Model-C300,SN-C30-00196,2026-03-14,Unit repeatedly disconnects from WiFi network.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00197,Model-B200,SN-B20-00197,2026-07-03,"Customer Karthik Reddy reported: No power, LED does not light up when plugged in.","Found loose power connector, reseated and resolved.",,No Power
RET-00198,Model-B200,SN-B20-00198,2025-10-08,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00199,Model-A100,SN-A10-00199,2025-09-26,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00200,Model-A100,SN-A10-00200,2025-08-01,"Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00201,Model-C300,SN-C30-00201,2025-12-20,Clicking sound heard during startup.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00202,Model-B200,SN-B20-00202,2025-08-19,"Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00203,Model-A100,SN-A10-00203,2026-03-09,Unit stuck in boot loop after last update.,Rolled back faulty software update.,,Software Crash
RET-00204,Model-C300,SN-C30-00204,2026-02-12,Screen shows vertical lines across display.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00205,Model-C300,SN-C30-00205,2026-05-27,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,,Software Crash
RET-00206,Model-B200,SN-B20-00206,2025-08-23,"Cracked display panel, screen partially visible.",Replaced display panel assembly.,display_fault,Display Fault
RET-00207,Model-B200,SN-B20-00207,2026-01-28,"No power, LED does not light up when plugged in.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00208,Model-B200,SN-B20-00208,2026-04-08,Customer Karthik Reddy reported: Device loses charge rapidly even in standby mode.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00209,Model-C300,SN-C30-00209,2025-08-28,"No power, LED does not light up when plugged in.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00210,Model-A100,SN-A10-00210,2025-12-20,Screen shows vertical lines across display.,Replaced display driver IC on board.,,Display Fault
RET-00211,Model-B200,SN-B20-00211,2025-12-15,Bluetooth pairing fails every time.,Reseated antenna connector.,,Connectivity Issue
RET-00212,Model-B200,SN-B20-00212,2026-01-25,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,,Battery Drain
RET-00213,Model-C300,SN-C30-00213,2026-05-11,App crashes repeatedly on startup. Contact: +91-98765-43210.,Rolled back faulty software update.,,Software Crash
RET-00214,Model-B200,SN-B20-00214,2025-11-14,Customer Vikram Rao reported: Device gets very hot to touch during normal use.,Replaced faulty cooling fan.,overheating,Overheating
RET-00215,Model-C300,SN-C30-00215,2025-12-21,Screen shows vertical lines across display.,Reseated display ribbon cable.,,Display Fault
RET-00216,Model-A100,SN-A10-00216,2026-07-05,Customer reports random restarts several times a day.,Rolled back faulty software update.,software_crash,Software Crash
RET-00217,Model-A100,SN-A10-00217,2026-04-09,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,,Physical Damage
RET-00218,Model-C300,SN-C30-00218,2026-05-19,Outer casing has visible dents and scratches.,Replaced outer housing.,,Physical Damage
RET-00219,Model-C300,SN-C30-00219,2025-08-05,"Flickering screen, gets worse when device is warm.",Replaced display driver IC on board.,,Display Fault
RET-00220,Model-A100,SN-A10-00220,2026-04-13,Bluetooth pairing fails every time.,Reseated antenna connector.,,Connectivity Issue
RET-00221,Model-B200,SN-B20-00221,2026-07-24,Device gets very hot to touch during normal use.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00222,Model-C300,SN-C30-00222,2026-06-30,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00223,Model-C300,SN-C30-00223,2026-05-20,Battery percentage drops from 100 to 0 in minutes. Contact: +91-98765-43210.,Updated firmware to fix power management bug.,,Battery Drain
RET-00224,Model-A100,SN-A10-00224,2025-11-06,Customer reports burning smell and excessive heat near vents.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00225,Model-C300,SN-C30-00225,2026-01-14,Customer reports unit won't turn on even after charging overnight.,Replaced power supply board.,,No Power
RET-00226,Model-B200,SN-B20-00226,2026-01-31,Unit does not power on at all.,"Found loose power connector, reseated and resolved.",,No Power
RET-00227,Model-A100,SN-A10-00227,2026-05-25,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,,Physical Damage
RET-00228,Model-A100,SN-A10-00228,2025-08-10,High pitched whining noise during operation.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00229,Model-C300,SN-C30-00229,2026-07-14,Customer Rahul Sharma reported: Rattling noise when device is moved.,Replaced noisy fan assembly.,unusual_noise,Unusual Noise
RET-00230,Model-B200,SN-B20-00230,2025-10-27,Customer reports random restarts several times a day. Reach out at rahul.sharma@example.com for follow-up.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00231,Model-A100,SN-A10-00231,2026-03-15,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00232,Model-B200,SN-B20-00232,2026-02-09,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00233,Model-C300,SN-C30-00233,2026-06-20,Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00234,Model-A100,SN-A10-00234,2026-02-18,Unit repeatedly disconnects from WiFi network.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00235,Model-B200,SN-B20-00235,2026-05-08,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,,Software Crash
RET-00236,Model-B200,SN-B20-00236,2026-03-14,Device freezes randomly during normal operation.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00237,Model-C300,SN-C30-00237,2026-07-17,Customer Priya Nair reported: Display is completely blank but unit powers on.,Replaced display driver IC on board.,,Display Fault
RET-00238,Model-B200,SN-B20-00238,2026-01-17,"Housing cracked near hinge, likely from a drop.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00239,Model-B200,SN-B20-00239,2025-12-17,"Housing cracked near hinge, likely from a drop. Contact: 9845012345.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00240,Model-B200,SN-B20-00240,2026-06-04,Battery drains fully within 2 hours of light use.,Replaced charging circuit board.,,Battery Drain
RET-00241,Model-C300,SN-C30-00241,2026-03-20,Customer reports burning smell and excessive heat near vents.,"Replaced temperature sensor, false trips resolved.",,Overheating
RET-00242,Model-C300,SN-C30-00242,2026-04-21,Loud grinding noise coming from internal fan.,Replaced noisy fan assembly.,unusual_noise,Unusual Noise
RET-00243,Model-C300,SN-C30-00243,2026-06-18,Rattling noise when device is moved.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00244,Model-C300,SN-C30-00244,2026-03-01,Bluetooth pairing fails every time.,Reseated antenna connector.,,Connectivity Issue
RET-00245,Model-A100,SN-A10-00245,2025-11-14,Outer casing has visible dents and scratches.,Replaced outer housing.,,Physical Damage
RET-00246,Model-A100,SN-A10-00246,2026-07-19,Rattling noise when device is moved.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00247,Model-C300,SN-C30-00247,2025-09-22,Screen shows vertical lines across display.,Replaced display panel assembly.,,Display Fault
RET-00248,Model-C300,SN-C30-00248,2025-11-05,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00249,Model-B200,SN-B20-00249,2026-06-13,"Fan not spinning, unit overheating quickly. Reach out at vikram.rao99@example.in for follow-up.",Replaced faulty cooling fan.,,Overheating
RET-00250,Model-A100,SN-A10-00250,2025-11-17,Device freezes randomly during normal operation.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00251,Model-A100,SN-A10-00251,2025-08-03,Outer casing has visible dents and scratches.,Replaced broken hinge assembly.,,Physical Damage
RET-00252,Model-B200,SN-B20-00252,2026-07-28,"Fan not spinning, unit overheating quickly. Contact: +91 90000 11122.",Replaced faulty cooling fan.,,Overheating
RET-00253,Model-C300,SN-C30-00253,2025-10-02,"Cracked display panel, screen partially visible.",Reseated display ribbon cable.,,Display Fault
RET-00254,Model-C300,SN-C30-00254,2025-10-17,"Housing cracked near hinge, likely from a drop. Reach out at vikram.rao99@example.in for follow-up.",Replaced outer housing.,physical_damage,Physical Damage
RET-00255,Model-A100,SN-A10-00255,2025-09-19,Device freezes randomly during normal operation.,Factory reset resolved the crashing issue.,,Software Crash
RET-00256,Model-C300,SN-C30-00256,2025-11-27,Bluetooth pairing fails every time.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00257,Model-C300,SN-C30-00257,2026-05-13,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,no_power,No Power
RET-00258,Model-C300,SN-C30-00258,2026-02-22,Touchscreen not responding in bottom half of screen.,Replaced touch digitizer.,display_fault,Display Fault
RET-00259,Model-B200,SN-B20-00259,2026-07-23,Device gets very hot to touch during normal use.,Replaced faulty cooling fan.,overheating,Overheating
RET-00260,Model-A100,SN-A10-00260,2026-01-17,Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00261,Model-B200,SN-B20-00261,2026-04-26,Outer casing has visible dents and scratches.,Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00262,Model-B200,SN-B20-00262,2026-07-21,Loud grinding noise coming from internal fan.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00263,Model-A100,SN-A10-00263,2026-07-08,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,,Physical Damage
RET-00264,Model-C300,SN-C30-00264,2026-03-08,Loud grinding noise coming from internal fan.,Replaced noisy fan assembly.,,Unusual Noise
RET-00265,Model-C300,SN-C30-00265,2026-01-07,"Broken latch, cover does not close properly.",Replaced outer housing.,,Physical Damage
RET-00266,Model-A100,SN-A10-00266,2025-10-22,"Broken latch, cover does not close properly.",Replaced outer housing.,physical_damage,Physical Damage
RET-00267,Model-C300,SN-C30-00267,2025-09-16,Unit repeatedly disconnects from WiFi network.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00268,Model-B200,SN-B20-00268,2026-05-20,Outer casing has visible dents and scratches.,Replaced latch mechanism.,,Physical Damage
RET-00269,Model-A100,SN-A10-00269,2026-05-23,"No power, LED does not light up when plugged in.",Replaced fuse on main board.,no_power,No Power
RET-00270,Model-C300,SN-C30-00270,2026-02-15,"Cracked display panel, screen partially visible.",Replaced touch digitizer.,,Display Fault
RET-00271,Model-C300,SN-C30-00271,2025-10-02,Customer reports intermittent loss of network signal.,Reseated antenna connector.,,Connectivity Issue
RET-00272,Model-C300,SN-C30-00272,2025-12-01,Unit repeatedly disconnects from WiFi network.,Updated network driver firmware.,connectivity_issue,Connectivity Issue
RET-00273,Model-B200,SN-B20-00273,2025-08-14,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,,Connectivity Issue
RET-00274,Model-C300,SN-C30-00274,2026-07-06,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00275,Model-B200,SN-B20-00275,2025-08-18,Display is completely blank but unit powers on.,Replaced display panel assembly.,,Display Fault
RET-00276,Model-A100,SN-A10-00276,2025-12-19,"No power, LED does not light up when plugged in.",Replaced fuse on main board.,,No Power
RET-00277,Model-B200,SN-B20-00277,2026-07-01,Clicking sound heard during startup.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00278,Model-C300,SN-C30-00278,2025-11-05,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00279,Model-C300,SN-C30-00279,2025-10-26,"Broken latch, cover does not close properly.",Replaced latch mechanism.,,Physical Damage
RET-00280,Model-C300,SN-C30-00280,2025-09-23,Device cannot detect any nearby WiFi networks.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00281,Model-B200,SN-B20-00281,2026-03-02,Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,,Battery Drain
RET-00282,Model-B200,SN-B20-00282,2026-02-04,Rattling noise when device is moved. Reach out at vikram.rao99@example.in for follow-up.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00283,Model-B200,SN-B20-00283,2026-05-19,"Broken latch, cover does not close properly.",Replaced outer housing.,,Physical Damage
RET-00284,Model-B200,SN-B20-00284,2025-08-31,Rattling noise when device is moved.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00285,Model-C300,SN-C30-00285,2025-10-18,Customer reports intermittent loss of network signal. Reach out at vikram.rao99@example.in for follow-up.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00286,Model-A100,SN-A10-00286,2025-09-09,Device loses charge rapidly even in standby mode. Contact: +91 90000 11122.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00287,Model-C300,SN-C30-00287,2026-07-30,"Cracked display panel, screen partially visible.",Reseated display ribbon cable.,,Display Fault
RET-00288,Model-B200,SN-B20-00288,2025-09-02,Clicking sound heard during startup.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00289,Model-A100,SN-A10-00289,2025-11-01,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00290,Model-A100,SN-A10-00290,2025-11-21,App crashes repeatedly on startup.,Rolled back faulty software update.,,Software Crash
RET-00291,Model-A100,SN-A10-00291,2026-03-02,"Dead on arrival, no boot, no lights.",Replaced power supply board.,no_power,No Power
RET-00292,Model-B200,SN-B20-00292,2026-05-25,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00293,Model-A100,SN-A10-00293,2025-09-04,Rattling noise when device is moved.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00294,Model-B200,SN-B20-00294,2026-05-04,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,battery_drain,Battery Drain
RET-00295,Model-C300,SN-C30-00295,2026-04-29,Unit overheats and shuts down after 20 minutes of operation.,"Replaced temperature sensor, false trips resolved.",overheating,Overheating
RET-00296,Model-B200,SN-B20-00296,2026-04-03,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00297,Model-C300,SN-C30-00297,2026-03-21,"Customer Ananya Iyer reported: No power, LED does not light up when plugged in.","Replaced battery, unit powers on normally now.",no_power,No Power
RET-00298,Model-B200,SN-B20-00298,2025-08-13,Unit repeatedly disconnects from WiFi network.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00299,Model-C300,SN-C30-00299,2026-04-11,Device loses charge rapidly even in standby mode.,Updated firmware to fix power management bug.,,Battery Drain
RET-00300,Model-C300,SN-C30-00300,2026-01-01,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,,Physical Damage
RET-00301,Model-A100,SN-A10-00301,2025-11-05,Thermal shutdown triggered repeatedly under light load. Reach out at rahul.sharma@example.com for follow-up.,Replaced faulty cooling fan.,overheating,Overheating
RET-00302,Model-C300,SN-C30-00302,2025-10-12,Device loses charge rapidly even in standby mode.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00303,Model-A100,SN-A10-00303,2025-10-07,Customer reports battery does not hold charge overnight.,"Replaced battery cell, capacity restored.",battery_drain,Battery Drain
RET-00304,Model-A100,SN-A10-00304,2026-05-26,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00305,Model-C300,SN-C30-00305,2026-07-21,Device cannot detect any nearby WiFi networks.,Updated network driver firmware.,,Connectivity Issue
RET-00306,Model-C300,SN-C30-00306,2026-07-09,Thermal shutdown triggered repeatedly under light load.,Replaced faulty cooling fan.,,Overheating
RET-00307,Model-A100,SN-A10-00307,2025-12-03,Device gets very hot to touch during normal use.,Replaced faulty cooling fan.,,Overheating
RET-00308,Model-C300,SN-C30-00308,2026-01-22,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,,Software Crash
RET-00309,Model-B200,SN-B20-00309,2025-09-11,"Fan not spinning, unit overheating quickly.",Replaced thermal paste on main processor.,overheating,Overheating
RET-00310,Model-A100,SN-A10-00310,2025-11-04,App crashes repeatedly on startup.,Rolled back faulty software update.,,Software Crash
RET-00311,Model-A100,SN-A10-00311,2025-12-07,Device cannot detect any nearby WiFi networks.,Reseated antenna connector.,connectivity_issue,Connectivity Issue
RET-00312,Model-B200,SN-B20-00312,2026-05-14,"Broken latch, cover does not close properly.",Replaced outer housing.,,Physical Damage
RET-00313,Model-A100,SN-A10-00313,2025-08-28,Customer reports unit won't turn on even after charging overnight.,Replaced power supply board.,no_power,No Power
RET-00314,Model-C300,SN-C30-00314,2025-12-16,"Dead on arrival, no boot, no lights.",Replaced power supply board.,no_power,No Power
RET-00315,Model-B200,SN-B20-00315,2025-10-29,Device loses charge rapidly even in standby mode. Contact: +91-98765-43210.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00316,Model-C300,SN-C30-00316,2025-10-10,"Broken latch, cover does not close properly.",Replaced outer housing.,physical_damage,Physical Damage
RET-00317,Model-C300,SN-C30-00317,2026-01-02,Battery percentage drops from 100 to 0 in minutes. Reach out at vikram.rao99@example.in for follow-up.,Updated firmware to fix power management bug.,,Battery Drain
RET-00318,Model-C300,SN-C30-00318,2025-10-21,Customer reports random restarts several times a day.,Reflashed firmware to latest stable version.,,Software Crash
RET-00319,Model-C300,SN-C30-00319,2025-11-06,Unit stuck in boot loop after last update.,Rolled back faulty software update.,software_crash,Software Crash
RET-00320,Model-B200,SN-B20-00320,2025-10-30,"Flickering screen, gets worse when device is warm.",Reseated display ribbon cable.,display_fault,Display Fault
RET-00321,Model-C300,SN-C30-00321,2025-12-07,Screen shows vertical lines across display.,Replaced display driver IC on board.,,Display Fault
RET-00322,Model-A100,SN-A10-00322,2026-03-30,Unit stuck in boot loop after last update.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00323,Model-B200,SN-B20-00323,2026-06-15,Outer casing has visible dents and scratches.,Replaced outer housing.,,Physical Damage
RET-00324,Model-C300,SN-C30-00324,2026-06-25,"Device completely dead, no response to power button.","Replaced battery, unit powers on normally now.",,No Power
RET-00325,Model-B200,SN-B20-00325,2026-07-25,Bluetooth pairing fails every time.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00326,Model-B200,SN-B20-00326,2025-08-10,Device loses charge rapidly even in standby mode.,Updated firmware to fix power management bug.,,Battery Drain
RET-00327,Model-B200,SN-B20-00327,2025-12-06,Unit stuck in boot loop after last update.,Factory reset resolved the crashing issue.,,Software Crash
RET-00328,Model-B200,SN-B20-00328,2026-06-12,High pitched whining noise during operation.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00329,Model-B200,SN-B20-00329,2025-10-17,"Device completely dead, no response to power button. Reach out at vikram.rao99@example.in for follow-up.","Replaced battery, unit powers on normally now.",,No Power
RET-00330,Model-B200,SN-B20-00330,2026-05-15,Bluetooth pairing fails every time.,Updated network driver firmware.,,Connectivity Issue
RET-00331,Model-A100,SN-A10-00331,2025-10-24,Rattling noise when device is moved.,Tightened loose internal bracket causing rattle.,unusual_noise,Unusual Noise
RET-00332,Model-C300,SN-C30-00332,2025-12-09,Clicking sound heard during startup.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00333,Model-C300,SN-C30-00333,2026-04-29,Customer Rahul Sharma reported: Loud grinding noise coming from internal fan.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00334,Model-B200,SN-B20-00334,2025-09-13,Display is completely blank but unit powers on.,Replaced display panel assembly.,display_fault,Display Fault
RET-00335,Model-C300,SN-C30-00335,2026-01-22,Loud grinding noise coming from internal fan.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00336,Model-B200,SN-B20-00336,2026-07-24,Loud grinding noise coming from internal fan.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00337,Model-C300,SN-C30-00337,2025-10-31,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00338,Model-B200,SN-B20-00338,2026-06-08,Screen shows vertical lines across display.,Reseated display ribbon cable.,,Display Fault
RET-00339,Model-B200,SN-B20-00339,2026-03-18,"Customer reports unit was dropped, casing damaged.",Replaced outer housing.,physical_damage,Physical Damage
RET-00340,Model-C300,SN-C30-00340,2025-08-10,Device loses charge rapidly even in standby mode.,Updated firmware to fix power management bug.,,Battery Drain
RET-00341,Model-C300,SN-C30-00341,2026-06-15,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,no_power,No Power
RET-00342,Model-C300,SN-C30-00342,2025-08-07,"Device completely dead, no response to power button.",Replaced power supply board.,no_power,No Power
RET-00343,Model-B200,SN-B20-00343,2025-12-16,Unit overheats and shuts down after 20 minutes of operation.,Replaced thermal paste on main processor.,,Overheating
RET-00344,Model-C300,SN-C30-00344,2026-03-16,Loud grinding noise coming from internal fan.,Replaced noisy fan assembly.,unusual_noise,Unusual Noise
RET-00345,Model-C300,SN-C30-00345,2026-05-02,"No power, LED does not light up when plugged in.",Replaced power supply board.,,No Power
RET-00346,Model-C300,SN-C30-00346,2026-06-23,Unit stuck in boot loop after last update.,Reflashed firmware to latest stable version.,,Software Crash
RET-00347,Model-B200,SN-B20-00347,2026-01-17,Outer casing has visible dents and scratches.,Replaced latch mechanism.,,Physical Damage
RET-00348,Model-B200,SN-B20-00348,2026-06-12,Customer reports unit won't turn on even after charging overnight.,"Replaced battery, unit powers on normally now.",no_power,No Power
RET-00349,Model-C300,SN-C30-00349,2026-02-15,Device freezes randomly during normal operation.,Rolled back faulty software update.,,Software Crash
RET-00350,Model-B200,SN-B20-00350,2026-01-31,Customer reports battery does not hold charge overnight.,Updated firmware to fix power management bug.,,Battery Drain
RET-00351,Model-B200,SN-B20-00351,2026-07-05,Customer Ananya Iyer reported: Unit overheats and shuts down after 20 minutes of operation.,Cleaned dust from heat sink and fan assembly.,,Overheating
RET-00352,Model-C300,SN-C30-00352,2026-01-14,Customer Vikram Rao reported: Touchscreen not responding in bottom half of screen.,Replaced touch digitizer.,display_fault,Display Fault
RET-00353,Model-B200,SN-B20-00353,2026-08-01,Thermal shutdown triggered repeatedly under light load.,"Replaced temperature sensor, false trips resolved.",,Overheating
RET-00354,Model-A100,SN-A10-00354,2026-06-17,"No power, LED does not light up when plugged in.",Replaced power supply board.,,No Power
RET-00355,Model-B200,SN-B20-00355,2026-03-05,Customer reports unit won't turn on even after charging overnight.,Replaced fuse on main board.,,No Power
RET-00356,Model-C300,SN-C30-00356,2025-10-13,Device loses charge rapidly even in standby mode.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00357,Model-B200,SN-B20-00357,2025-11-22,Bluetooth pairing fails every time.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00358,Model-B200,SN-B20-00358,2026-06-23,Rattling noise when device is moved.,Tightened loose internal bracket causing rattle.,,Unusual Noise
RET-00359,Model-B200,SN-B20-00359,2025-12-10,Battery drains fully within 2 hours of light use.,"Replaced battery cell, capacity restored.",,Battery Drain
RET-00360,Model-B200,SN-B20-00360,2026-02-14,Customer reports random restarts several times a day.,Factory reset resolved the crashing issue.,,Software Crash
RET-00361,Model-C300,SN-C30-00361,2026-03-01,Touchscreen not responding in bottom half of screen.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00362,Model-B200,SN-B20-00362,2026-03-05,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00363,Model-B200,SN-B20-00363,2026-01-27,Device freezes randomly during normal operation.,Rolled back faulty software update.,,Software Crash
RET-00364,Model-A100,SN-A10-00364,2025-12-08,"Device completely dead, no response to power button.",Replaced fuse on main board.,,No Power
RET-00365,Model-A100,SN-A10-00365,2025-08-22,Customer reports random restarts several times a day.,Reflashed firmware to latest stable version.,software_crash,Software Crash
RET-00366,Model-C300,SN-C30-00366,2025-12-28,"Flickering screen, gets worse when device is warm.",Replaced display panel assembly.,,Display Fault
RET-00367,Model-C300,SN-C30-00367,2025-11-01,Customer reports random restarts several times a day. Contact: +91 90000 11122.,Rolled back faulty software update.,,Software Crash
RET-00368,Model-C300,SN-C30-00368,2026-06-07,Unit overheats and shuts down after 20 minutes of operation.,Replaced faulty cooling fan.,,Overheating
RET-00369,Model-C300,SN-C30-00369,2026-02-13,Customer reports random restarts several times a day. Contact: +91-98765-43210.,Reflashed firmware to latest stable version.,,Software Crash
RET-00370,Model-C300,SN-C30-00370,2025-12-16,Battery percentage drops from 100 to 0 in minutes.,Updated firmware to fix power management bug.,,Battery Drain
RET-00371,Model-C300,SN-C30-00371,2026-02-06,Screen shows vertical lines across display. Contact: +91-98765-43210.,Replaced display driver IC on board.,display_fault,Display Fault
RET-00372,Model-C300,SN-C30-00372,2026-02-04,Touchscreen not responding in bottom half of screen.,Replaced touch digitizer.,display_fault,Display Fault
RET-00373,Model-B200,SN-B20-00373,2025-12-01,"Housing cracked near hinge, likely from a drop.",Replaced broken hinge assembly.,physical_damage,Physical Damage
RET-00374,Model-A100,SN-A10-00374,2026-07-10,Unit repeatedly disconnects from WiFi network.,Replaced WiFi/Bluetooth module.,,Connectivity Issue
RET-00375,Model-C300,SN-C30-00375,2026-03-30,"Cracked display panel, screen partially visible.",Reseated display ribbon cable.,display_fault,Display Fault
RET-00376,Model-B200,SN-B20-00376,2026-04-05,High pitched whining noise during operation.,Replaced coil on power board causing whine.,,Unusual Noise
RET-00377,Model-B200,SN-B20-00377,2026-07-18,App crashes repeatedly on startup.,Factory reset resolved the crashing issue.,software_crash,Software Crash
RET-00378,Model-C300,SN-C30-00378,2026-04-18,Battery percentage drops from 100 to 0 in minutes.,Replaced charging circuit board.,battery_drain,Battery Drain
RET-00379,Model-A100,SN-A10-00379,2026-01-26,Touchscreen not responding in bottom half of screen.,Reseated display ribbon cable.,display_fault,Display Fault
RET-00380,Model-B200,SN-B20-00380,2025-09-30,"Customer reports unit was dropped, casing damaged.",Replaced latch mechanism.,physical_damage,Physical Damage
RET-00381,Model-B200,SN-B20-00381,2025-09-19,Clicking sound heard during startup.,Replaced coil on power board causing whine.,unusual_noise,Unusual Noise
RET-00382,Model-C300,SN-C30-00382,2025-08-22,Unit overheats and shuts down after 20 minutes of operation. Contact: +91-98765-43210.,Replaced faulty cooling fan.,overheating,Overheating
RET-00383,Model-C300,SN-C30-00383,2025-11-13,"Flickering screen, gets worse when device is warm.",Replaced display driver IC on board.,,Display Fault
RET-00384,Model-B200,SN-B20-00384,2025-11-25,"Cracked display panel, screen partially visible.",Reseated display ribbon cable.,display_fault,Display Fault
RET-00385,Model-A100,SN-A10-00385,2026-02-21,"Flickering screen, gets worse when device is warm.",Replaced display panel assembly.,,Display Fault
RET-00386,Model-B200,SN-B20-00386,2026-04-24,"Flickering screen, gets worse when device is warm.",Replaced display driver IC on board.,display_fault,Display Fault
RET-00387,Model-C300,SN-C30-00387,2025-11-24,Clicking sound heard during startup.,Replaced noisy fan assembly.,,Unusual Noise
RET-00388,Model-A100,SN-A10-00388,2026-07-16,Customer reports intermittent loss of network signal.,Replaced WiFi/Bluetooth module.,connectivity_issue,Connectivity Issue
RET-00389,Model-B200,SN-B20-00389,2025-10-24,Loud grinding noise coming from internal fan. Reach out at priya.n@mail.com for follow-up.,Replaced coil on power board causing whine.,,Unusual Noise
